Bupropiona,Antidepressivo,"Depressão, cessação do tabagismo","Insônia, boca seca",Comprimido 150 mg,"150-300 mg, 1-2x ao dia"
Fenitoína,Anticonvulsivante,Epilepsia,"Gengivite, náusea",Comprimido 100 mg,"100 mg, 3x ao dia"
Isotretinoína,Retinoide,Acne severa,"Ressecamento, aumento de triglicérides",Comprimido 10 mg,"0,5-1 mg/kg, 1x ao dia"
Alprazolam,Ansiolítico,"Ansiedade, pânico","Sedação, dependência","Comprimido 0,5 mg","0,25-0,5 mg, 3x ao dia"
Sulfametoxazol + Trimetoprima,Antibiótico,"Infecção urinária, bronquite","Erupção cutânea, náusea",Comprimido 400/80 mg,"400/80 mg, 2x ao dia"
Codeína,Opioide,Dor moderada a intensa,"Sonolência, constipação",Comprimido 30 mg,"15-60 mg, 3-4x ao dia"
Levomepromazina,Antipsicótico,"Agitação, psicose","Sedação intensa, hipotensão",Comprimido 25 mg,"25-100 mg, 1-2x ao dia"
Fluconazol,Antifúngico,"Candidíase, micoses","Dor abdominal, alteração hepática",Comprimido 150 mg,"150 mg, 1x ao dia"
Prometazina,Antiemético,"Náuseas, alergias","Sonolência, tontura",Comprimido 25 mg,"25 mg, 1x ao dia"
Buspirona,Ansiolítico,Ansiedade generalizada,"Tontura, nervosismo",Comprimido 10 mg,"15-60 mg, 3x ao dia"
Topiramato,Anticonvulsivante,"Epilepsia, enxaqueca","Perda de peso, dificuldade de concentração",Comprimido 25 mg,"25 mg, 1x ao dia"
Valproato de sódio,Estabilizador de humor,"Epilepsia, transtorno bipolar","Tremores, ganho de peso",Comprimido 250 mg,"250-500 mg, 2-3x ao dia"
Sertralina,Antidepressivo,"Depressão, ansiedade","Náusea, disfunção sexual",Comprimido 50 mg,"50-200 mg, 1x ao dia"
Cloridrato de Ambroxol,Mucolítico,"Tosse com secreção, bronquite","Náusea, desconforto gastrointestinal",Comprimido 30 mg,"30 mg, 3x ao dia"
Bromazepam,Ansiolítico,"Ansiedade, insônia","Sonolência, tontura",Comprimido 3 mg,"3 mg, 1-3x ao dia"
Prednisolona,Corticosteroide,"Inflamação, alergias","Ganho de peso, insônia",Comprimido 5 mg,"5-60 mg, dose variável"
Atenolol,Beta-bloqueador,"Hipertensão, angina","Fadiga, tontura",Comprimido 25 mg,"25-100 mg, 1x ao dia"
Carvedilol,Beta-bloqueador,"Hipertensão, insuficiência cardíaca","Tontura, fadiga","Comprimido 3,125 mg","3,125 mg, 2x ao dia"
Losartana Potássica ,Antihipertensivo,Hipertensão,"Tontura, cansaço",Comprimido 100 mg,"100 mg, 1x ao dia"
Nome,Classe Terapêutica,Indicações,Reações Adversas,Apresentação,Posologia
Albendazol,Antiparasitário,"Ascaridíase, ancilostomíase, estrongiloidíase, tricuríase, enterobíase, giardíase, neurocisticercose","Dor abdominal, náuseas, tontura",Comprimido 400 mg,400 mg em dose única (varia conforme a parasitose)
Fenoterol,Broncodilatador,"Asma, DPOC, broncoespasmo","Taquicardia, tremores, dor de cabeça",Solução para inalação 1 mg/mL,"0,5 mL (0,5 mg), 3-4x ao dia"
Oxalato de Escitalopram,Antidepressivo,"Depressão, transtorno de ansiedade","Náusea, boca seca, sonolência",Comprimido,5mg
Gliclazida,Antidiabético,Diabetes tipo 2,"Hipoglicemia, náusea, dor abdominal",Comprimido,30mg
Glibenclamida,Antidiabético,Diabetes tipo 2,"Hipoglicemia, náusea, ganho de peso",Comprimido,2.5mg
Pantoprazol,Inibidor da bomba de prótons,"Refluxo gastroesofágico, úlceras gástricas","Dor de cabeça, diarreia, náusea",Comprimido,20mg
Esomeprazol,Inibidor da bomba de prótons,"Refluxo gastroesofágico, úlceras gástricas","Dor de cabeça, náusea, diarreia",Comprimido,20mg
Amoxicilina + Clavulanato de Potássio,Antibiótico,Infecções bacterianas resistentes,"Diarreia, náusea, alergias",Comprimido,500mg + 125mg
Quetiapina,antipsicótico atípico,esquizofrenia,sonolência; boca seca; ganho de peso,comprimido revestido,25 mg
Dapagliflozina,inibidor do cotransportador de sódio-glicose tipo 2 (SGLT2),diabetes mellitus tipo 2,infecção do trato urinário; dor lombar; hipoglicemia,comprimido,5 mg
Semaglutida,agonista do receptor de GLP-1,diabetes mellitus tipo 2,náusea; vômito; dor abdominal,solução injetável (caneta preenchida),"0,25 mg uma vez por semana"
Ozempic,agonista do receptor de GLP-1,diabetes mellitus tipo 2,náusea; vômito; dor abdominal; constipação; perda de apetite,solução injetável (caneta preenchida),"0,25 mg/semana; 0,5 mg/semana; 1 mg/semana; 2 mg/semana"
Valsartana,bloqueador dos receptores da angiotensina II (BRA),hipertensão arterial; insuficiência cardíaca; infarto do miocárdio,tontura; hipotensão; hipercalemia; disfunção renal,comprimido,40 mg; 80 mg; 160 mg; 320 mg - 1 vez ao dia
Diclofenaco de Potássico,anti-inflamatório não esteroidal (AINE),alívio da dor; inflamação; artrite reumatoide; osteoartrite,náusea; dor abdominal; gastrite; cefaleia; tontura,comprimido revestido; cápsula; solução injetável,"50 mg a cada 8-12 horas, conforme prescrição"
Diovan,antagonista dos receptores de angiotensina II,hipertensão arterial; insuficiência cardíaca,tontura; hipotensão; fadiga; cefaleia,comprimido,"80 mg a 320 mg uma vez ao dia, conforme prescrição"
Diclofenaco Sódico,anti-inflamatório não esteroidal (AINE),inflamação; dor; artrite reumatoide; osteoartrite,náusea; dor abdominal; azia; dor de cabeça; tontura,comprimido; gel tópico; solução injetável,50 mg 2-3 vezes ao dia (comprimido); aplicar gel 2-3 vezes ao dia; injeção conforme prescrição médica
Atorvastatina,estatina,hipercolesterolemia; prevenção de doenças cardiovasculares,dor muscular; náusea; dor de cabeça,comprimido,10 mg a 80 mg uma vez ao dia
Toragesic,anti-inflamatório não esteroidal (AINE),dor moderada a intensa; inflamação,náusea; dor abdominal; tontura; sonolência,comprimido; solução injetável,"10 mg a cada 4-6 horas, não ultrapassar 40 mg por dia"
Cetorolaco,anti-inflamatório não esteroidal (AINE),dor moderada a intensa; inflamação,náusea; dor abdominal; tontura; sonolência,comprimido; solução injetável,"10 mg a cada 4-6 horas, não ultrapassar 40 mg por dia"
Ciclobenzaprina,relaxante muscular,espasmos musculares,sonolência; boca seca; tontura; fadiga,comprimido; cápsula de liberação prolongada; suspensão oral,10 mg 3 vezes ao dia (comprimido); 30 mg uma vez ao dia (cápsula de liberação prolongada); 5 mg/5 ml suspensão oral 3 vezes ao dia
Gabapentina,anticonvulsivante,neuropatia diabética; epilepsia; dor neuropática,sonolência; tontura; fadiga; ganho de peso,comprimido; cápsula; solução oral,"300 mg a 3600 mg por dia, divididos em 3 doses (comprimido e cápsula); 250 mg/5 ml solução oral 3 vezes ao dia"
Pregabalina,anticonvulsivante; analgésico neuropático,neuropatia diabética; fibromialgia; dor neuropática,sonolência; tontura; ganho de peso; boca seca,comprimido; cápsula; solução oral,"150 mg a 600 mg por dia, divididos em 2 ou 3 doses"
Tramadol,analgésico opioide,dor moderada a intensa,náusea; tontura; constipação; sonolência,comprimido; cápsula; solução oral; solução injetável; gotas,50 mg a 100 mg a cada 4-6 horas (dose máxima: 400 mg/dia)
Morfina,analgésico opioide,dor intensa aguda ou crônica; dor oncológica,náusea; constipação; sonolência; depressão respiratória,comprimido; solução oral; injetável; supositório,"2,5 mg a 30 mg a cada 4 horas conforme necessário, dependendo da via e da condição"
Paracetamol + Codeína,analgésico; antipirético; opioide leve,dor moderada a intensa; febre,sonolência; constipação; náusea; risco de dependência,comprimido; cápsula,"Paracetamol 500 mg + Codeína 30 mg a cada 6 horas, conforme prescrição médica"
Histamin,anti-histamínico,rinites alérgicas; urticária; reações alérgicas em geral,sonolência; boca seca; tontura,comprimido; solução oral,2 mg a cada 4 a 6 horas (máximo de 12 mg por dia)
Meloxicam,anti-inflamatório não esteroidal (AINE),artrite reumatoide; osteoartrite; dor e inflamação,dor de cabeça; dispepsia; náusea; aumento da pressão arterial,comprimido; suspensão oral; injetável,"7,5 mg a 15 mg uma vez ao dia"
Amitriptilina,antidepressivo tricíclico, depressão; dor crônica; enurese noturna; enxaqueca,sonolência; boca seca; constipação; ganho de peso,comprimido,"25 mg a 150 mg por dia, geralmente à noite"
Zolpidem,hipnótico não-benzodiazepínico,insônia,sonolência; tontura; dor de cabeça; alucinações,comprimido; comprimido sublingual,"5 mg a 10 mg à noite, imediatamente antes de dormir"
Clopidogrel,antiagregante plaquetário,prevenção de eventos trombóticos (como infarto e AVC),sangramento; hematomas; dor abdominal; diarreia,comprimido,75 mg uma vez ao dia
,,,,,
 (VITAMINAS A )  +  ASSSOCIACÕES,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
 AC SALICILICO + AC BENZOICO + IODO,ANTIMICOTICOS PARA USO TOPICO,,,,
 ALENDRONATO SODICO,SUPRESSORES DA REABSORCAO OSSEA,,,,
 ARNICA MONTANA,FITOTERAPICO SIMPLES,,,,
 ARNICA MONTANA L.,FITOTERAPICO SIMPLES,,,,
 BUPIVACAINA + EPINEFRINA,ANESTESICOS,,,,
 CETOCONAZOL,ANTIMICOTICO,,,,
 CLORETO DE CETILPIRIDINIO + BENZOCAINA,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
 CLORETO DE SODIO,REIDRATANTES PARENTERAIS,,,,
 CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE),DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,,,,
 DIPIRONA,ANALGESICOS,,,,
 EUCALYPTUS GLOBULUS  LABILL.,FITOTERAPICO SIMPLES,,,,
 GINKGO BILOBA,FITOTERAPICO SIMPLES,,,,
 HEPARINA + HIALURONIDASE + LIDOCAINA,ANTIVARICOSOS TOPICOS,,,,
 HYPERICUM PERFORATUM,FITOTERAPICO SIMPLES,,,,
 HYPERICUM PERFORATUM L,FITOTERAPICO SIMPLES,,,,
 IMUNOCIANINA,IMUNOMODULADOR,,,,
 IODETO DE POTASSIO,EXPECTORANTES,,,,
 KAVA KAVA,FITOTERAPICO SIMPLES,,,,
 METILDOPA,ANTI-HIPERTENSIVOS,,,,
 NISTATINA,ANTIMICOTICO,,,,
 RABEPRAZOL SODICO,ANTIULCEROSOS,,,,
 SULFATO DE AMICACINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
 TAMOXIFENO,ANTINEOPLASICO,,,,
 TENOXICAM,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
 TERBINAFINA,ANTIMICOTICO,,,,
" VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA",VACINAS,,,,
 VITAMINA C + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS,,,,
1/6 Molar Halex Istar,ELETROLITOS SIMPLES,,,,
17-VALERATO DE BETAMETASONA + ACIDO SALICILICO,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
17-VALERATO DE BETAMETASONA+ASSOCIASSOES,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
"21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12",ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
50 + multivitamínico,POLIVITAMINICOS COM MINERAIS,,,,
6 - COPENA,ANTIEMETICOS E ANTINAUSEANTES,,,,
A CURITYBINA,CERATOLITICOS E CERATOPLASTICOS,,,,
A SAUDE DA MULHER,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,,,,
A SAÚDE DA MULHER,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,,,,
A.F.B.M,POLIVITAMINICOS SEM MINERAIS,,,,
AAS,ANALGESICOS NAO NARCOTICOS,,,,
AAS PROTECT,ANTIAGREGANTE PLAQUETARIO,,,,
ABACICLOVIR,ANTIVIROTICOS,,,,
ABBA,AGENTES ANTINEOPLÁSICOS,ACETATO DE ABIRATERONA,,,
ABBOT EFEDRINA,HIPERTENSOR,,,,
ABBOTTRACURIUM,ANESTESICOS GERAIS INJETAVEIS,,,,
ABC,ANTIMICOTICOS PARA USO TOPICO,CLOTRIMAZOL,,,
ABC PLUS,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ABCALCIUM B12,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ABCIXIMAB,ANTICOAGULANTES,,,,
ABCLER ABNAT,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA,,,
ABEDERIL,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
ABEDOSEC,ANTIULCEROSOS,,,,
ABELCET,ANTIMICOTICOS SISTEMICOS,,,,
ABELIA,IMUNOMODULADOR,,,,
ABEPOTEN,ANTI-HIPERTENSIVOS SIMPLES,,,,
ABERALGINA,ANALGESICOS NAO NARCOTICOS,DIPIRONA,,,
ABFOR GERIN,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ABIDOR,ANALGESICOS,,,,
ABIFLAN,ANTINFLAMATORIOS,,,,
ABILIFY,ANTIPSICOTICOS,,,,
ABINESIL,ANTIDIABETICOS,,,,
ABLOK,BETABLOQUEADORES SIMPLES,ATENOLOL,,,
ABLOK PLUS,ANTI-HIPERTENSIVOS,ATENOLOL +  CLORTALIDONA,,,
ABOBORA D''ANTA,FITOTERAPICO COMPOSTO,,,,
ABRENA,DESCONGESTIONANTES NASAIS TOPICOS,,,,
ABRETIA,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA,,,
ABRIFIT,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,HEDERA HELIX L.,,,
ABRILAR,EXPECTORANTES + FITOTERAPICO SIMPLES,HEDERA HELIX L.,,,
ABSTEN S,ANOREXICOS SIMPLES,,,,
AC ACETIL+ASSOC,ANALGESICOS NAO NARCOTICOS,,,,
AC ASCORBICO+CARBONATO DE MAGNESIO+CARB DE CALCIO+ LACT. FERROSO,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
AC BENZOICO ASSOCIADO,ANTISSEPTICO,,,,
AC. ACETIL SALICILICO + ASSOCIAÇÕES,ANALGESICOS NAO NARCOTICOS,,,,
AC. ACETILSALICILICO+ASSOCIAÇÕES,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
AC. ASCORBICO,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,,,,
AC. ASCORBICO + ASSOCIACÕES,POLIVITAMINICOS COM MINERAIS,,,,
AC. GLUTAMICO + ASSOCIAÇÕES,PRODUTOS PARA DIETAS ESPECIAIS,,,,
ACAFRAN,COLAGOGOS E COLERETICOS,,,,
ACALKA,PRODUTOS PARA VIAS URINARIAS,,,,
ACALMIL,FITOTERAPICO COMPOSTO,,,,
ACALMILFITO,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.,,,
ACARSAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
ACCERA,ANTIGLAUCOMATOSOS,,,,
ACCOLATE,ANTIASMATICOS,,,,
ACCUPRIL,ANTI-HIPERTENSIVOS,,,,
ACCUVIT,VITAMINAS E SUPLEMENTOS MINERAIS,ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SÓDIO +  ÁCIDO ASCÓRBICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO,,,
ACEBROFILINA,BRONCODILATADORES,,,,
ACECILICO,ANALGESICOS NAO NARCOTICOS,,,,
ACECLOFENAC,ANTINFLAMATORIOS,,,,
ACECLOFENACO,ANTINFLAMATORIOS,,,,
ACECTIL,ANALGESICOS NAO NARCOTICOS,,,,
ACEDILAT,BRONCODILATADORES,,,,
ACEFLOR,ANTINFLAMATORIOS,ACECLOFENACO,,,
ACEMEDROX,PROGESTAGENOS SIMPLES,,,,
ACEPONATO DE HIDROCORTISONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ACERATUM,MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA,PERÓXIDO DE URÉIA,,,
ACEROGRIP C,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACEROL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",,,,
ACEROLITA,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACEROLUP C,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACERTALIX,ANTI-HIPERTENSIVOS,INDAPAMIDA +  PERINDOPRIL ARGININA,,,
ACERTANLO,ANTI-HIPERTENSIVOS,BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA,,,
ACERTIL,ANTI-HIPERTENSIVOS,PERINDOPRIL ARGININA,,,
ACESYL,VITAMINAS E SUPLEMENTOS MINERAIS,CLORIDRATO DE TIAMINA,,,
ACETAMIL,ANALGESICOS NAO NARCOTICOS,,,,
ACETAMOL,ANALGESICOS NAO NARCOTICOS,,,,
ACETAN,ANALGESICOS NAO NARCOTICOS,,,,
ACETATO DE ABIRATERONA,ANTINEOPLASICO,ACETATO DE ABIRATERONA,,,
ACETATO DE ALFA DL TOCOFEROL,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACETATO DE CIPROTERONA,PROGESTAGENOS SIMPLES,,,,
ACETATO DE CIPROTERONA + ETINILESTRADIOL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS,ACETATO DE CIPROTERONA,,,
ACETATO DE CIPROTERONA+ETINILESTRADIOL,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE CIPROTERONA +  ETINILESTRADIOL,,,
ACETATO DE CLORMADINONA + ETINILESTRADIOL,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL,,,
ACETATO DE CLORMADINONA+ETINILESTRADIOL,ANTICONCEPCIONAIS,,,,
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA,CERATOLITICOS E CERATOPLASTICOS,,,,
ACETATO DE DEXAMETASONA,HORMONIOS CORTICOSTEROIDES,,,,
ACETATO DE DEXAMETASONA + VITAMINAS,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
ACETATO DE DEXAMETAZONA,GLICOCORTICOIDES SISTEMICOS,,,,
ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ACETATO DE DL ALFA TOCOFERIL,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACETATO DE DL ALFA TOCOFERILA,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACETATO DE EPTIFIBATIDE,ANTITROMBOTICO,,,,
ACETATO DE GUANABENZO,ANTI-HIPERTENSIVOS SIMPLES,,,,
ACETATO DE HIDROCORTISONA,ANTI-FLOGISTICO E ANTI-PRURIGINOSO,,,,
ACETATO DE LEUPROLIDE,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,,,,
ACETATO DE MEDROXIPROGESTERONA,PROGESTAGENOS SIMPLES,,,,
ACETATO DE MEDROXIPROGESTERONA],PROGESTAGENOS SIMPLES,,,,
ACETATO DE MEGESTROL,ANTINEOPLASICO,,,,
ACETATO DE NORETINDRONA + ETINILESTRADIOL,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
ACETATO DE NORETINDRONA + ETINILESTRADIOL/ FUMARATO FERROSO,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
ACETATO DE POTASSIO,ELETROLITOS SIMPLES,,,,
ACETATO DE PREDNISOLONA,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES,,,,
ACETATO DE RETINOL,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACETATO DE RETINOL (50.000 UI),MONOVITAMINAS EXCETO VITAMINA K,,,,
ACETATO DE RETINOL + ASSOCIADOS,POLIVITAMINICOS COM MINERAIS,,,,
ACETATO DE RETINOL + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS,,,,
ACETATO DE RETINOL + ASSOSSIACAO,POLIVITAMINICOS SEM MINERAIS,,,,
ACETATO DE RETINOL + COLECALCIFEROL,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ACETATO DE RETINOL E BETACAROTENO,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ACETATO DE SODIO,ELETROLITOS SIMPLES,,,,
ACETATO DE SODIO + ASSOCIAÇOES,PRODUTOS PARA HEMODIALISE,,,,
ACETATO DE SÓDIO,ELETROLITOS SIMPLES,,,,
ACETATO DE TOCOFEROL,POLIVITAMINICOS COM MINERAIS,,,,
ACETATO DE TOCOFEROL + ÁCIDO ASCÓRBICO + BETACAROTENO + SELÊNIO,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ACETATO DE ZINCO B.BRAUN,ELETROLITOS SIMPLES,,,,
ACETATO RETINOL + CLORIDRATO TIAMINA + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS,,,,
ACETAZOLAMIDA,DIURETICOS,,,,
ACETAZONA,GLICOCORTICOIDES SISTEMICOS,ACETATO DE DEXAMETASONA +  DEXAMETASONA,,,
ACETICIL,ANALGESICOS,ÁCIDO ACETILSALICÍLICO,,,
ACETILASA,ANALGESICOS NAO NARCOTICOS,,,,
ACETILCISTEINA,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA,,,
ACETILDOR,ANALGESICOS NAO NARCOTICOS,,,,
ACETILESSIN,ANALGESICOS,,,,
ACETILMETIONINA+ASSCIACOES,COLAGOGOS E COLERETICOS,,,,
ACETILSALICILATO DE LISINA,ANALGESICOS NAO NARCOTICOS,,,,
ACETILSALIL,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
ACETITOL,ANALGESICOS,,,,
ACETOFENIDO DE ALGESTONA+ENATATO DE ESTRADIOL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS,,,,
ACETOFLUX,PROGESTAGENOS SIMPLES,,,,
ACETONIDA DE TRIANCINOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
ACETONIDO DE FLUOCINOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ACETONIDO DE FLUOCINOLONA + ASSOCIACOES,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
ACETONIDO DE FLUOCINOLONA + NEOMICINA + POLIMIXINA B + LIDOCAÍNA,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
ACETONIDO DE FLUOCINOLONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA ,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
